Model Name,Max Speed (m/s),Range (km),Dimensions (m),Payload Capacity (kg),Battery Life (hours),Another property,Another property,etc
Falcon-X,20,50,1.2x0.8x0.5,5,2.5,,,
SkySurfer,15,30,1.0x0.6x0.4,3,3,,,
HawkEye,25,70,1.5x1.0x0.6,8,2,,,
AeroScout,18,40,1.1x0.7x0.5,4,3.5,,,
CloudRider,22,60,1.3x0.9x0.6,6,2.8,,,
Deliverance,30,10,2.0x1.0x1.5,10,1,,,
feel free to add rows and columns!,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
City Name,Building Density (buildings/km²),Average Building Height (m),Population Density (people/km²),Takeoff/Landing Locations,Another property,Another property,etc,
Metroville,1200,50,10000,150,,,,
Skyline City,800,45,7500,120,,,,
Urban Heights,1500,60,12000,180,,,,
AeroTown,1000,55,9000,140,,,,
Cloudscape,950,40,8500,130,,,,
Windy Ridge,700,35,7000,110,,,,
Valley Haven,600,30,5000,100,,,,
Summit View,750,25,6000,95,,,,
Crystal Bay,500,20,4000,85,,,,
Golden Plains,400,15,3000,75,,,,
feel free to add rows and columns!,,,,,,,,